ingredient_id,ingredient_name_en,ingredient_name_fr,co2_per_kg,water_L_per_kg,energy_MJ_per_kg
ingredient:basil_dried,"Basil, dried","Basilic, séché",5.14803791220457,20.1807035906,35.4
ingredient:chervil_fresh,"Chervil, fresh","Cerfeuil, frais",1.75823777664686,5.1549029042,12.4
ingredient:chive_or_spring_onion_fresh,"Chive or spring onion, fresh","Ciboule ou Ciboulette, fraîche",1.47880344718086,0.6981743942,12.1
ingredient:coriander_fresh,"Coriander, fresh","Coriandre, fraiche",2.05507602689505,1.3127526262,14.7
ingredient:tarragon_fresh,"Tarragon, fresh","Estragon, frais",1.4694222767361,4.5359705448000005,10.9
ingredient:provence_herbs_dried,"Provence herbs, dried","Herbes de Provence, séchées",5.1662237048815705,20.3784608346,35.4
ingredient:marjoram_dried,"Marjoram, dried","Marjolaine, séchée",5.14803791220457,20.1807035906,35.4
ingredient:molokhia_powder,Molokhia powder (dried jute leaves),"Meloukhia, feuilles de corète séchées, en poudre",4.3519059396645705,1.9885170906,40.5
ingredient:mint_fresh,"Mint, fresh","Menthe, fraîche",1.4693498673630505,4.5350944542,10.9
ingredient:oregano_dried,"Oregano, dried","Origan, séché",5.14803791220457,20.1807035906,35.4
ingredient:parsley_fresh,"Parsley, fresh","Persil, frais",2.2457086448020496,1.8588105202,13.6
ingredient:parsley_dried,"Parsley, dried","Persil, séché",8.67617995418457,8.112924290599999,47.6
ingredient:horseradish_fresh,"Horseradish, fresh","Raifort, cru",1.4816413619488602,0.5258386842,12.0
ingredient:rosemary_fresh,"Rosemary, fresh","Romarin, frais",1.75823777664686,5.1549029042,12.4
ingredient:rosemary_dried,"Rosemary, dried","Romarin, séché",5.14803791220457,20.1807035906,35.4
ingredient:savory_dried,"Savory, dried","Sarriette, séchée",5.14803791220457,20.1807035906,35.4
ingredient:sage_fresh,"Sage, fresh","Sauge, fraîche",1.75823777664686,5.1549029042,12.4
ingredient:sage_dried,"Sage, dried","Sauge, séchée",5.14803791220457,20.1807035906,35.4
ingredient:thyme_fresh,"Thyme, fresh","Thym, frais",1.7583929585644005,5.155898468,12.4
ingredient:thyme_dried,"Thyme, dried","Thym, séché",5.1481224665346,20.1815000416,35.4
ingredient:cream_sauce_for_pizza_base,cream sauce for pizza base,Base de pizza à la crème,4.708527146401001,0.370698125,32.1
ingredient:tomato_sauce_for_pizza_base,Tomato sauce for pizza base,Base de pizza tomatée,1.961534396037,2.4773685776,24.6
ingredient:sodium_bicarbonate,Sodium bicarbonate,Bicarbonate de soude,3.21223075654003,2.0343992724000004,18.2
ingredient:gelatine_dried,"Gelatine, dried","Gélatine, sèche",5.2241914983750295,0.8483066153000002,22.9
ingredient:soy_lecithin,Soy lecithin,Lécithine de soja,10.7844106259111,0.6731234609000001,38.2
ingredient:baking_powder_or_raising_agent,Baking powder or raising agent,Levure chimique ou Poudre à lever,4.2161694018400295,3.8144673724,22.9
ingredient:miso,Miso,Miso,2.422484725946,2.8989521229999995,22.0
ingredient:syrup_agave,"Syrup, agave",Sirop d'agave,11.2568254241685,0.6759401338,127.0
ingredient:syrup_maple,"Syrup, maple",Sirop d'érable,4.600645169693299,2.4961754731000005,32.4
ingredient:light_syrup_for_canned_fruits_in_syrup,Light syrup for canned fruits in syrup,Sirop léger pour fruits appertisés au sirop,1.8685605975626405,0.4206635442999999,16.2
ingredient:syrup_for_canned_fruits_in_syrup,Syrup for canned fruits in syrup,Sirop pour fruits appertisés au sirop,1.86877118207117,0.4227620871999999,16.2
ingredient:oat_bran,Oat bran,Son d'avoine,1.1792220230611,0.2743192771999999,6.92
ingredient:wheat_bran,Wheat bran,Son de blé,0.7445557624739,0.0863224294999999,5.64
ingredient:maizecorn_bran,Maize/corn bran,Son de maïs,0.7937708155000999,0.3054082571999999,6.03
ingredient:rice_bran,Rice bran,Son de riz,2.2292751252361,7.0978175852000005,8.15
ingredient:tempeh,Tempeh,Tempeh,4.7353735274281,1.1755118694000002,35.6
ingredient:light_custard_cream_with_vanilla_prepacked,"Light custard cream with vanilla, prepacked","Crème anglaise, préemballée",3.621067786271901,0.5456770715,26.2
ingredient:guacamole_prepacked,"Guacamole, prepacked","Guacamole, préemballé",3.2817073330919007,16.8338651575,29.4
ingredient:harissa_prepacked,"Harissa (hot spicy sauce), prepacked",Harissa (sauce condimentaire),2.714876882353901,6.4740178515,40.6
ingredient:hummus,Hummus,Houmous,2.2255168488169006,1.2693591244999998,25.5
ingredient:ketchup,Ketchup,Ketchup,2.3698143106149008,0.9073197845,31.4
ingredient:mayonnaise,Mayonnaise (70% fat and more),Mayonnaise (70% MG min.),5.371635638606898,4.249206769500001,42.4
ingredient:mayonnaise_reduced_fat_or_light_mayonnaise,"Mayonnaise, reduced fat or light mayonnaise",Mayonnaise à teneur réduite en matière grasse ou Mayonnaise allégée,5.371635638606898,4.249206769500001,42.4
ingredient:cream_sauce,Cream sauce,Sauce à la crème,5.221517314407999,0.4627540035,41.8
ingredient:cream_sauce_with_spices,Cream sauce with spices,Sauce à la crème aux épices,4.771553627535,0.5417673945,40.4
ingredient:cream_sauce_with_herbs,Cream sauce with herbs,Sauce à la crème aux herbes,4.771553627535,0.5417673945,40.4
ingredient:cream_sauce_with_shallots_prepacked,"Cream sauce with shallots, prepacked","Sauce à l'échalote à la crème, préemballée",4.742386555832001,0.5225726555000001,40.1
ingredient:sweet_and_sour_sauce_prepacked,"Sweet and sour sauce, prepacked","Sauce aigre douce, préemballée",2.454381827433,1.0573973482,32.5
ingredient:aioli_sauce_prepacked,"Aioli sauce (garlic and olive oil mayonnaise), prepacked","Sauce aïoli, préemballée",3.2721569366469008,18.039677193500005,43.6
ingredient:americanstyle_sauce_prepacked,"American-style sauce, prepacked","Sauce américaine, préemballée",7.7937152824799005,0.8701787255,43.6
ingredient:armoricanstyle_sauce_prepacked,"Armorican-style sauce, prepacked","Sauce armoricaine, préemballée",7.816259599400001,0.8743532505,45.2
ingredient:white_butter_sauce_prepacked,"White butter sauce, prepacked","Sauce au beurre blanc, préemballée",9.269201565286002,0.7351125572,42.2
ingredient:sauce_butter_prepacked,"Sauce, butter, prepacked","Sauce au beurre, préemballée",9.269133355927002,0.7337033774999999,42.2
ingredient:chocolate_sauce,Chocolate sauce,Sauce au chocolat,13.758545314270998,0.4673189769999999,35.1
ingredient:curry_sauce_prepacked,"Curry sauce, prepacked","Sauce au curry, préemballée",2.147982069361001,1.0625466604999998,30.3
ingredient:cheese_sauce_for_risotto_or_pasta_prepacked,"Cheese sauce for risotto or pasta, prepacked","Sauce au fromage pour risotto ou pâtes, préemballée",8.282539192692,0.6180970565,39.5
ingredient:green_pepper_sauce_prepacked,"Green pepper sauce, prepacked","Sauce au poivre vert, préemballée",2.885141315500001,0.3285270025,33.2
ingredient:sauce_pepper_prepacked,"Sauce, pepper, prepacked","Sauce au poivre, chaude, préemballée",4.064850878761,0.3931020604999999,38.5
ingredient:sauce_pepper_prepacked,"Sauce, pepper, prepacked","Sauce au poivre, condimentaire, froide, préemballée",4.042306561840899,0.3889275355,37.0
ingredient:roquefort_sauce_prepacked,"Roquefort (blue cheese) sauce, prepacked","Sauce au roquefort, préemballée",9.269133355927002,0.7337033774999999,42.2
ingredient:red_wine_sauce,Red wine sauce,Sauce au vin rouge,3.2847949688240003,0.5206687075,37.8
ingredient:wine_white_sweet,"Wine, white, sweet",Vin doux,2.705935895440701,0.2598438347,23.2
ingredient:cream_sauce_with_mushrooms_prepacked,"Cream sauce with mushrooms, prepacked","Sauce aux champignons et à la crème, préemballée",8.881524890926997,21.18028202850001,63.4
ingredient:mushroom_sauce_prepacked,"Mushroom sauce, prepacked","Sauce aux champignons, préemballée",8.252925777617001,27.2769432925,67.5
ingredient:barbecue_sauce_prepacked,"Barbecue sauce, prepacked","Sauce barbecue, préemballée",2.8290892913509005,2.0391199585,35.2
ingredient:basquestyle_sauce_or_tomato_sauce_with_sweet_peppers_prepacked,"Basque-style sauce or tomato sauce with sweet peppers, prepacked","Sauce basquaise ou Sauce aux poivrons, préemballée",2.4790756936270006,3.9171934585,36.8
ingredient:bearnaise_sauce_prepacked,"Bearnaise sauce, prepacked","Sauce béarnaise, préemballée",10.260981096827,1.0757479765,44.2
ingredient:bechamel_sauce_homemade,"Bechamel sauce, home-made","Sauce béchamel, maison",4.654303333117001,0.4245165025,32.3
ingredient:bechamel_sauce_prepacked,"Bechamel sauce, prepacked","Sauce béchamel, préemballée",4.654303333117001,0.4245165025,32.3
ingredient:burgundystyle_sauce_prepacked,"Burgundy-style sauce, prepacked","Sauce bourguignonne, préemballée",5.175870364313899,5.1183260745,41.3
ingredient:burger_sauce_prepacked,"Burger sauce, prepacked","Sauce burger, préemballée",5.349056161139899,4.2486254575,42.2
ingredient:carbonara_sauce_prepacked,"Carbonara sauce (cream sauce with lardoons), prepacked","Sauce carbonara, préemballée",10.457318003181,1.2813261004999998,56.5
ingredient:hunterstyle_sauce_prepacked,"Hunter-style sauce (a garnish of mushrooms, shallots and tomatoes in white wine sauce), prepacked","Sauce chasseur, préemballée",4.998321860988001,8.1629528225,42.4
ingredient:salad_dressing_reduced_fat_prepacked,"Salad dressing, reduced fat, prepacked","Sauce crudités ou Sauce salade, allégée en matière grasse, préemballée",5.2653523314859,4.2378574195,41.4
ingredient:salad_dressing_prepacked,"Salad dressing, prepacked","Sauce crudités ou Sauce salade, préemballée",5.2653523314859,4.2378574195,41.4
ingredient:grand_veneur_sauce_prepacked,"Grand veneur sauce (a reduction of red wine with garlic, shallots and red currant jelly), prepacked","Sauce grand veneur, préemballée",5.198414681234,5.1225006005,42.8
ingredient:hollandaise_sauce_prepacked,"Hollandaise sauce, prepacked","Sauce hollandaise, préemballée",12.590264049032,0.9985645165,46.4
ingredient:indianstyle_sauce_tandoori_or_garam_masala_type_prepacked,"Indian-style sauce, tandoori or garam masala type, prepacked","Sauce indienne type tandoori ou tikka masala, préemballée",3.1520238702950008,1.0605759665,34.5
ingredient:kebab_sauce_prepacked,"Kebab sauce, prepacked","Sauce kebab, préemballée",4.4829781758979,1.0999176995,37.7
ingredient:madeira_wine_sauce_prepacked,"Madeira wine sauce, prepacked","Sauce madère, préemballée",10.959013788816996,0.7232479145,38.2
ingredient:mustard_sauce_prepacked,Mustard sauce prepacked,"Sauce moutarde, préemballée",4.6206437441008985,0.5078760265000001,39.1
ingredient:nuoc_mam_sauce_or_fish_sauce_prepacked,"Nuoc mam sauce or fish sauce, prepacked","Sauce Nuoc Mâm ou Sauce au poisson, préemballée",1.9877523096559,0.4991144245,31.5
ingredient:sauce_pesto_rosso_prepacked,"Sauce, pesto rosso, prepacked","Sauce pesto rosso, préemballée",5.725852793516999,11.0141425135,40.2
ingredient:sauce_pesto_prepacked,"Sauce, pesto, prepacked","Sauce pesto, préemballée",5.725852793516999,11.0141425135,40.2
ingredient:mayonnaise_flavoured_with_garlic_chilli_pepper_and_fish_broth_prepacked,"Mayonnaise flavoured with garlic, chilli pepper and fish broth, prepacked","Sauce rouille, préemballée",4.652684812527799,3.8567382833,35.5
ingredient:soy_sauce_prepacked,"Soy sauce, prepacked","Sauce soja, préemballée",1.9882710475249,0.2974498082,27.2
ingredient:tartare_sauce_prepacked,"Tartare sauce, prepacked","Sauce tartare, préemballée",4.042427566829899,0.3914271652,37.0
ingredient:tomato_sauce_with_meat_or_bolognese_sauce_prepacked,"Tomato sauce, with meat or Bolognese sauce, prepacked","Sauce tomate à la viande ou Sauce bolognaise, préemballée",26.412800455234,2.4316547622,60.1
ingredient:tomato_sauce_w_cheese_prepacked,"Tomato sauce, w cheese, prepacked","Sauce tomate au fromage, préemballée",3.590481271163,2.6202395352000005,38.7
ingredient:tomato_sauce_w_mushrooms_prepacked,"Tomato sauce, w mushrooms, prepacked","Sauce tomate aux champignons, préemballée",3.548458312879001,5.6569424522,41.4
ingredient:tomato_sauce_with_onions_prepacked,"Tomato sauce, with onions, prepacked","Sauce tomate aux oignons, préemballée",2.933914667049,2.627996817200001,37.6
ingredient:tomato_sauce_w_olives_prepacked,"Tomato sauce, w olives, prepacked","Sauce tomate aux olives, préemballée",2.919787519993,2.8397778492000008,37.6
ingredient:tomato_sauce_w_vegetables_prepacked,"Tomato sauce, w vegetables, prepacked","Sauce tomate aux petits légumes, préemballée",2.9958973300570007,3.922810831200001,38.4
ingredient:vegetable_bolognese_sauce,Vegetable Bolognese sauce,"Sauce végétale type bolognaise, préemballée",2.403589550589001,1.5383738346,46.9
ingredient:salad_dressing_prepacked,"Salad dressing, (50-75% of oil), prepacked","Sauce vinaigrette (50 à 75% d'huile), préemballée",4.725476936499899,3.7304712255,40.3
ingredient:pure_sea_salt_no_enrichment,"Pure sea salt, no enrichment","Fleur de sel, non iodée, non fluorée",1.26428017599228,0.076757161,9.05
ingredient:celery_salt,Celery salt,Sel au céleri,1.26428017599228,0.076757161,9.05
ingredient:salt_white_for_human_consumption_iodine_added_no_other_enrichment,"Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment","Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)",1.26428017599228,0.076757161,9.05
ingredient:salt_white_for_human_consumption_no_enrichment,"Salt, white, for human consumption (sea, igneous or rock), no enrichment","Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)",1.26428017599228,0.076757161,9.05
ingredient:sea_salt_grey_no_enrichment,"Sea salt, grey, no enrichment","Sel marin gris, non iodé, non fluoré",1.26428017599228,0.076757161,9.05
ingredient:biscuit_for_baby,Biscuit for baby,Biscuit pour bébé,6.068271727814,1.81547554,50.0
ingredient:instant_cereal_for_baby_from_months,Instant cereal (powder to be reconstituted) for baby from 4/6 months,"Céréales instantanées, poudre à reconstituer, dès 4/6 mois",4.3921800401512,1.053944351,24.0
ingredient:instant_cereal_for_baby_from_months,Instant cereal (powder to be reconstituted) for baby from 6 months,"Céréales instantanées, poudre à reconstituer, dès 6 mois",4.3921800401512,1.053944351,24.0
ingredient:instant_cereal_for_baby_from_months_rehydrated_with_milk_at_consumer_step,"Instant cereal for baby from 4/6 months, rehydrated with milk at consumer step","Céréales instantanées, poudre reconstituée chez le consommateur, dès 4/6 mois",1.8224037306082008,0.3203088867,12.8
ingredient:instant_cereal_for_baby_from_months_rehydrated_with_milk_at_consumer_step,"Instant cereal for baby from 6 months, rehydrated with milk at consumer step","Céréales instantanées, poudre reconstituée chez le consommateur, dès 6 mois",1.8224037306082008,0.3203088867,12.8
ingredient:dairy_dessert_for_baby_with_rice_or_semolina,"Dairy dessert for baby, with rice or semolina",Dessert lacté infantile au riz ou à la semoule,4.983658696510001,0.941573432,34.3
ingredient:dairy_dessert_for_baby_plain_with_sugar_or_with_fruits,"Dairy dessert for baby, plain with sugar or with fruits",Dessert lacté infantile nature sucré ou aux fruits,4.983658696510001,0.941573432,34.3
ingredient:dairy_dessert_for_baby_custard_type,"Dairy dessert for baby, custard type",Dessert lacté infantile type crème dessert,4.983658696510001,0.941573432,34.3
ingredient:baby_food_jar_with_banana,Baby food jar with banana,Petit pot fruit avec banane pour bébé,3.136732272975,1.3088103520000005,31.7
ingredient:baby_food_jar_without_banana,Baby food jar without banana,Petit pot fruit sans banane pour bébé,3.136732272975,1.3088103520000005,31.7
ingredient:fruitbased_beverage_for_baby_from_months,Fruit-based beverage for baby from 4/6 months,Boisson aux fruits pour bébé dès 4/6mois,1.6382863483254,9.8626221905,12.4
ingredient:dairy_cerealbased_beverage_with_fruits_for_babys_snack_from_months,Dairy cereal-based beverage with fruits for baby's snack from 4/6 months,Boisson infantile céréales lactées aux fruits pour le goûter dès 4/6 mois,1.7031894675141004,0.1681811430999999,9.01
ingredient:dairy_cerealbased_beverage_with_vegetables_for_babys_dinner_from_months,Dairy cereal-based beverage with vegetables for baby's dinner from 4/6 months,Boisson infantile céréales lactées aux légumes pour dîner dès 4/6 mois,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast,Dairy cereal-based beverage for baby's breakfast,Boisson infantile céréales lactées pour le petit déjeuner,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast_from_months,Dairy cereal-based beverage for baby's breakfast from 12 months,Boisson infantile céréales lactées pour le petit déjeuner dès 12 mois,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast_from_months,Dairy cereal-based beverage for baby's breakfast from 4/6 months,Boisson infantile céréales lactées pour le petit déjeuner dès 4/6 mois,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast_from_months,Dairy cereal-based beverage for baby's breakfast from 8/9 months,Boisson infantile céréales lactées pour le petit déjeuner dès 8/9 mois,1.7257637852340006,0.1723556681,10.5
ingredient:baby_milk_first_age_powder_non_rehydrated,"Baby milk, first age, powder, non rehydrated","Lait 1er âge, poudre soluble (préparation pour nourrissons)",16.102312771970002,1.9816537588000005,38.1
ingredient:baby_milk_first_age_powder_rehydrated_at_consumer,"Baby milk, first age, powder, rehydrated at consumer","Lait 1er âge, poudre soluble (préparation pour nourrissons), réhydratée chez le consommateur",2.1771529749823,0.27241422351,5.15
ingredient:baby_milk_first_milk_ready_to_feed,"Baby milk, first milk, ready to feed","Lait 1er âge, prêt à consommer (préparation pour nourrissons)",1.5898894209812005,0.2539056796,11.7
ingredient:baby_milk_second_age_powder_non_rehydrated,"Baby milk, second age, powder, non rehydrated","Lait 2e âge, poudre soluble (préparation de suite)",16.102312771970002,1.9816537588000005,38.1
ingredient:baby_milk_second_age_powder_rehydrated_at_consumer,"Baby milk, second age, powder, rehydrated at consumer","Lait 2e âge, poudre soluble (préparation de suite), réhydratée chez le consommateur",2.1771529749823,0.27241422351,5.15
ingredient:baby_milk_follow_on_milk_ready_to_feed,"Baby milk, follow on milk, ready to feed","Lait 2e âge, prêt à consommer (préparation pour nourrissons)",1.5898894209812005,0.2539056796,11.7
ingredient:baby_milk_growing_up_milk_ready_to_feed,"Baby milk, growing up milk, ready to feed","Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge)",1.3666726041636,0.2469491475,8.35
ingredient:baby_milk_growing_up_milk_powder_rehydrated_with_water_at_consumer_step,"Baby milk, growing up milk, powder, rehydrated with water at consumer step","Lait de croissance infantile, poudre (réhydratée chez le consommateur)",2.1771529749823,0.27241422351,5.15
ingredient:baby_food_jar_with_vegetables_and_starch_from_months,"Baby food jar with vegetables and starch, from 4-6 months","Petit pot légumes, avec féculent, dès 4/6 mois",2.4194513509338997,0.668701355,28.0
ingredient:baby_food_jar_with_vegetables_from_months,"Baby food jar with vegetables, from 4-6 months","Petit pot légumes, dès 4-6 mois",2.4194513509338997,0.668701355,28.0
ingredient:vegetable_dish_for_baby_with_milkcream_and_starch_from_months,"Vegetable dish for baby, with milk/cream and starch, from 12 months","Plat légumes, avec féculent et lait/crème, dès 12 mois",2.4212782768709005,1.2601530855999998,27.7
ingredient:vegetable_dish_for_baby_with_milkcream_and_starch_from_months,"Vegetable dish for baby, with milk/cream and starch, from 18 months","Plat légumes, avec féculent et lait/crème, dès 18 mois",2.4212782768709005,1.2601530855999998,27.7
ingredient:vegetable_dish_for_baby_with_milkcream_and_starch_from_months,"Vegetable dish for baby, with milk/cream and starch, from 6-8 months","Plat légumes, avec féculent et lait/crème, dès 6-8 mois",2.4212782768709005,1.2601530855999998,27.7
